Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
68,Michael Busch*,26,CHC,NL,2.9,150,559,492,73,123,28,2,21,65,2,1,59,161,.250,.333,.443,.776,117,.338,117,218,9,4,0,4,1,*3H/4D5,,buschmi02
69,Jackson Chourio,20,MIL,NL,3.7,146,564,519,80,142,28,4,21,79,21,7,39,118,.274,.327,.464,.791,117,.343,115,241,7,3,1,2,4,*79/HD,,chourja01
70,Oneil Cruz*,25,PIT,NL,2.6,144,590,534,71,140,34,3,21,76,22,1,49,176,.262,.325,.455,.780,115,.343,112,243,8,3,0,4,5,*68H/D,,cruzon01
71,Jarren Duran*,27,BOS,AL,8.7,158,727,664,109,190,48,14,21,75,34,7,54,158,.286,.343,.495,.838,130,.375,135,329,6,5,1,3,1,*87,AS,duranja01
72,Brandon Lowe*,29,TBR,AL,2.3,106,420,380,54,91,19,3,21,58,5,1,33,111,.239,.307,.471,.778,120,.337,119,179,7,5,0,2,2,4D3H,,lowebr01
73,Luke Raley*,29,SEA,AL,3.1,135,446,398,56,96,18,2,21,55,11,2,26,133,.241,.315,.455,.770,125,.341,128,181,2,18,2,2,0,739H/8D,,raleylu01
74,Seiya Suzuki,29,CHC,NL,3.4,130,576,506,73,142,27,6,21,73,16,6,60,160,.281,.361,.482,.843,136,.362,133,244,6,6,0,4,2,9D/7H,,suzukse01
75,Fernando Tatis Jr.,25,SDP,NL,2.7,101,434,394,64,110,21,1,21,49,11,3,32,94,.279,.343,.497,.841,132,.363,131,196,8,7,0,1,0,9/DH,AS,tatisfe02
76,Bryan De La Cruz,27,2TM,NL,-1.6,149,622,584,61,136,25,0,21,68,5,2,29,170,.233,.271,.384,.654,77,.290,75,224,10,3,0,5,1,7D9/H,,delacbr01
77,Bryan De La Cruz,27,MIA,NL,-0.2,105,454,424,44,104,19,0,18,51,3,1,25,118,.245,.289,.417,.707,89,.309,87,177,8,2,0,2,1,7D/9H,,delacbr01
78,Bryan De La Cruz,27,PIT,NL,-1.3,44,168,160,17,32,6,0,3,17,2,1,4,52,.200,.220,.294,.514,42,.238,42,47,2,1,0,3,0,9/7H,,delacbr01
79,Jorge Soler,32,2TM,NL,0.9,138,560,482,82,116,31,1,21,64,1,0,66,140,.241,.337,.440,.777,120,.342,122,212,9,6,0,4,0,D9/H7,,solerjo01
80,Jorge Soler,32,SFG,NL,1.0,93,392,341,57,82,23,1,12,40,1,0,44,97,.240,.330,.419,.749,115,.334,119,143,9,3,0,3,0,D/H,,solerjo01
81,Jorge Soler,32,ATL,NL,-0.1,45,168,141,25,34,8,0,9,24,0,0,22,43,.241,.353,.489,.843,132,.361,131,69,0,3,0,1,0,9/7H,,solerjo01
82,Christopher Morel,25,2TM,2LG,-0.7,150,602,526,56,102,11,3,21,59,8,7,61,158,.194,.287,.346,.633,79,.282,79,182,15,10,0,5,3,5D4/7H,,morelch01
83,Christopher Morel,25,CHC,NL,0.2,103,421,362,43,72,7,1,18,51,7,5,47,103,.199,.302,.373,.675,89,.300,91,135,11,8,0,4,2,5D/H,,morelch01
84,Christopher Morel,25,TBR,AL,-0.9,47,181,164,13,30,4,2,3,8,1,2,14,55,.183,.254,.287,.541,56,.239,52,47,4,2,0,1,1,4D/7H,,morelch01
85,CJ Abrams*,23,WSN,NL,3.4,138,602,541,79,133,29,6,20,65,31,12,40,128,.246,.314,.433,.747,110,.324,107,234,4,16,1,4,3,*6/H,AS,abramcj01
86,Jo Adell,25,LAA,AL,0.9,130,451,405,54,84,15,2,20,62,15,10,35,126,.207,.280,.402,.682,91,.297,90,163,9,7,0,3,1,*9H/D8,,adelljo01
87,Jose Altuve,34,HOU,AL,3.4,153,682,628,94,185,31,0,20,65,22,7,47,119,.295,.350,.439,.790,126,.348,126,276,15,7,0,0,2,*4/DH,AS,altuvjo01
88,JJ Bleday*,26,OAK,AL,2.2,157,633,564,73,137,43,4,20,60,2,3,66,123,.243,.324,.440,.764,120,.334,121,248,8,2,1,0,2,*8H/D,,bledajj01
89,Jeimer Candelario#,30,CIN,NL,-0.7,112,463,427,47,96,23,2,20,56,4,3,27,114,.225,.279,.429,.707,90,.306,87,183,7,6,0,3,1,53D/H,,candeje01
90,Michael Conforto*,31,SFG,NL,1.4,129,484,434,56,103,27,3,20,66,0,1,42,118,.237,.310,.452,.762,117,.327,115,196,15,5,0,3,1,7DH,,confomi01
91,Ryan Jeffers,27,MIN,AL,1.8,121,461,408,55,91,22,0,20,62,3,0,32,94,.223,.298,.424,.722,100,.319,100,173,9,14,1,6,0,2DH,,jeffery01
92,Andrew McCutchen,37,PIT,NL,0.8,120,515,448,66,104,18,1,20,50,3,2,58,133,.232,.328,.411,.739,105,.332,110,184,9,7,0,2,1,*D/9H,,mccutan01
93,Ryan McMahon*,29,COL,NL,2.7,151,638,561,68,137,28,0,20,64,4,6,69,183,.244,.329,.401,.730,97,.314,93,225,9,3,0,3,4,*5/DH,AS,mcmahry01
94,Logan O'Hoppe,24,LAA,AL,2.5,135,517,474,62,113,16,1,20,56,2,3,33,154,.238,.298,.403,.701,97,.310,99,191,7,8,1,1,0,*2/HD,,ohopplo01
95,Julio Rodríguez,23,SEA,AL,4.2,141,605,559,73,152,17,0,20,67,24,5,38,155,.272,.324,.410,.734,116,.334,121,229,10,6,0,2,1,*8D/H,,rodriju01
96,Will Smith,29,LAD,NL,3.4,127,538,471,75,116,24,2,20,74,0,1,50,104,.246,.325,.433,.758,115,.325,111,204,8,9,0,8,6,*2/HD,AS,smithwi05
97,Spencer Steer,26,CIN,NL,1.7,156,647,566,74,129,34,4,20,92,25,3,71,133,.228,.321,.408,.730,99,.334,102,231,5,8,0,2,1,73/4D9H6,,steersp01
98,Trea Turner,31,PHI,NL,2.9,119,531,497,86,146,25,0,20,60,19,3,27,96,.294,.337,.465,.802,123,.357,126,231,10,6,0,1,0,*6/D,AS,turnetr01
99,Randy Arozarena,29,2TM,AL,1.7,153,644,546,76,119,32,0,20,60,20,9,72,168,.218,.331,.386,.717,108,.323,112,211,7,22,0,4,0,*7/8DH,,arozara01
100,Randy Arozarena,29,TBR,AL,0.7,100,409,350,45,74,19,0,15,37,16,7,45,101,.211,.318,.394,.712,104,.316,104,138,3,11,0,3,0,7/8HD,,arozara01
101,Randy Arozarena,29,SEA,AL,1.0,53,235,196,31,45,13,0,5,23,4,2,27,67,.230,.353,.372,.726,116,.333,125,73,4,11,0,1,0,7/8D,,arozara01
102,Andrew Benintendi*,29,CHW,AL,-1.0,134,518,473,48,107,19,0,19,62,3,2,41,95,.226,.288,.387,.675,92,.295,89,183,12,1,0,3,1,*7H/D8,,beninan01
103,Mookie Betts,31,LAD,NL,4.7,114,511,445,74,129,23,5,19,75,16,2,61,57,.290,.374,.492,.866,145,.378,145,219,10,1,0,4,2,694/H,AS,bettsmo01
104,Nolan Gorman*,24,STL,NL,0.3,107,402,365,42,74,15,0,19,50,6,1,34,151,.203,.271,.400,.671,85,.291,79,146,2,1,0,2,1,4/H5,,gormano01
105,Vinnie Pasquantino*,26,KCR,AL,1.1,131,554,496,64,130,30,2,19,97,1,0,40,71,.262,.315,.446,.760,111,.328,108,221,12,4,1,13,1,3D/H,,pasquvi01
106,Austin Riley,27,ATL,NL,2.9,110,469,425,63,109,26,2,19,56,0,0,37,118,.256,.322,.461,.783,115,.342,117,196,6,5,0,2,0,*5,,rileyau01
107,Adley Rutschman#,26,BAL,AL,3.4,146,628,561,67,141,20,1,19,77,1,0,58,102,.251,.320,.392,.712,108,.314,108,220,9,2,0,7,3,2D/H,AS,rutscad01
108,George Springer,34,TOR,AL,1.2,144,610,542,74,119,19,3,19,56,15,1,59,115,.220,.302,.371,.673,92,.311,96,201,16,6,0,2,0,*9D/H8,,springe01
109,Tyler Stephenson,27,CIN,NL,2.4,136,506,450,69,116,26,1,19,65,1,0,46,116,.258,.336,.447,.783,112,.345,114,201,9,8,0,2,2,*2H/D,,stephty01
110,Andrew Vaughn,26,CHW,AL,0.3,147,610,561,55,138,30,1,19,69,2,0,38,131,.246,.298,.405,.703,100,.307,97,227,13,6,0,5,0,*3D/H,,vaughan01
111,Josh Bell#,31,2TM,NL,-0.5,144,602,537,62,134,23,2,19,71,0,1,51,119,.250,.320,.406,.726,97,.321,98,218,22,6,0,3,1,3D/H,,belljo02
112,Josh Bell#,31,MIA,NL,-0.8,104,441,398,38,95,18,1,14,49,0,0,34,88,.239,.305,.394,.699,89,.310,88,157,13,5,0,3,1,3D,,belljo02
113,Josh Bell#,31,ARI,NL,0.3,40,161,139,24,39,5,1,5,22,0,1,17,31,.281,.363,.439,.802,123,.351,126,61,9,1,0,0,0,3/DH,,belljo02
