playerID,yearID,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP
Bryson Stott*,2024,PHI,NL,143,487,62,119,18,2,11,54,31,3,53,91,1,3,0,9,9
Christian Yelich*,2024,MIL,NL,73,270,44,85,12,3,11,42,21,1,40,58,3,2,1,1,3
Justin Turner,2024,2TM,AL,134,446,58,115,23,0,11,49,0,2,57,92,2,12,0,6,16
Justin Turner,2024,TOR,AL,91,301,37,77,17,0,6,31,0,2,39,60,0,6,0,3,15
Justin Turner,2024,SEA,AL,43,145,21,38,6,0,5,18,0,0,18,32,2,6,0,3,1
Pete Crow-Armstrong*,2024,CHC,NL,117,351,45,84,13,6,10,46,27,2,20,96,2,6,6,3,4
Josh Lowe*,2024,TBR,AL,100,332,35,80,18,2,10,31,25,1,31,113,4,0,0,2,2
Gavin Lux*,2024,LAD,NL,134,422,54,103,22,2,10,48,5,2,42,104,0,2,0,2,8
Dylan Moore,2024,SEA,AL,129,356,51,74,23,4,10,42,31,6,48,122,0,14,1,5,8
Lars Nootbaar*,2024,STL,NL,104,330,34,81,17,2,10,40,7,3,47,76,2,1,1,3,9
Jake Rogers,2024,DET,AL,98,299,41,59,15,1,10,36,1,0,21,96,1,3,0,2,6
Gary Sánchez,2024,MIL,NL,84,230,29,50,7,1,10,36,0,0,26,70,0,5,0,3,9
Gavin Sheets*,2024,CHW,AL,136,444,35,105,24,1,10,45,2,2,43,105,2,4,0,3,5
Mike Trout,2024,LAA,AL,29,109,17,24,1,2,10,14,6,1,16,27,1,1,0,0,0
Ramón Urías,2024,BAL,AL,94,250,34,63,9,2,10,35,1,1,23,52,0,5,0,1,0
Masataka Yoshida*,2024,BOS,AL,105,367,45,105,20,0,10,55,2,0,27,51,0,13,0,2,5
Eddie Rosario*,2024,2TM,NL,91,297,33,52,12,0,10,35,9,1,16,77,0,0,2,4,4
Eddie Rosario*,2024,WSN,NL,67,219,26,40,11,0,7,26,8,1,13,54,0,0,1,2,4
Eddie Rosario*,2024,ATL,NL,24,78,7,12,1,0,3,9,1,0,3,23,0,0,1,2,0
Ramón Laureano,2024,2TM,2LG,92,262,33,68,15,1,10,30,7,3,14,87,0,7,0,1,4
Ramón Laureano,2024,CLE,AL,31,70,7,10,3,0,1,4,3,1,7,32,0,5,0,1,1
Ramón Laureano,2024,ATL,NL,61,192,26,58,12,1,9,26,4,2,7,55,0,2,0,0,3
Ozzie Albies#,2024,ATL,NL,93,376,49,95,28,1,9,47,8,1,24,62,0,5,0,4,5
José Caballero,2024,TBR,AL,135,428,53,98,24,1,9,44,44,15,27,131,1,8,3,3,6
J.P. Crawford*,2024,SEA,AL,99,369,52,75,15,2,9,37,5,0,52,95,0,6,0,1,4
Santiago Espinal,2024,CIN,NL,114,345,32,87,12,0,9,45,11,1,24,52,1,2,4,4,7
Thairo Estrada,2024,SFG,NL,96,364,43,79,15,2,9,47,2,2,10,76,0,5,0,2,8
Joey Gallo*,2024,WSN,NL,71,208,23,34,9,0,9,24,3,1,31,95,0,4,0,1,1
Andrés Giménez*,2024,CLE,AL,148,569,64,146,22,1,9,63,30,5,26,95,1,15,3,6,11
Sam Hilliard*,2024,COL,NL,53,122,24,31,4,1,9,26,5,2,12,46,1,0,3,2,0
Connor Joe,2024,PIT,NL,122,364,49,83,22,1,9,36,2,1,42,91,1,6,0,2,7
José Miranda,2024,MIN,AL,120,398,44,114,28,4,9,49,2,2,18,65,1,6,0,4,13
Sean Murphy,2024,ATL,NL,69,225,17,44,5,1,9,23,0,0,25,65,1,3,0,1,7
